,Model,Precision,Recall,F1 score,Support
0,AdaBoost,0.7747858017135862,0.8215444516547696,0.79748031496063,1541
1,GradientBoosting,0.7680323139065205,0.863724853990915,0.8130726939523519,1541
2,DecisionTree,0.7885756676557863,0.6898118105126542,0.7358947732779509,1541
3,RandomForest,0.8,0.7138221933809215,0.7544581618655692,1541
4,XGBoost,0.7712418300653595,0.8423101881894873,0.8052109181141439,1541
5,SupportVector,0.797799174690509,0.7527579493835171,0.7746243739565943,1541
