,ricebought,cleanyard,housetype,nearstable,own_hhappliance,housesqm,own_vehicles,own_receivables,outerwall,numroom,own_jewelry,floor,ipercap,own_fininstrument_7,own_fininstrument_14
1710,0.0,1.0,1.0,3.0,1.0,192.0,1.0,3.0,1.0,10.0,1.0,2.0,6000000.0,1.0,1.0
1711,0.0,3.0,1.0,1.0,1.0,42.0,1.0,3.0,2.0,4.0,1.0,3.0,2160000.0,1.0,3.0
1712,0.0,1.0,1.0,1.0,3.0,96.0,1.0,3.0,2.0,6.0,3.0,6.0,5200000.0,3.0,3.0
1713,0.0,1.0,1.0,1.0,1.0,35.0,3.0,3.0,1.0,5.0,3.0,3.0,1200000.0,3.0,3.0
1714,0.0,1.0,1.0,1.0,1.0,24.0,1.0,3.0,2.0,3.0,3.0,6.0,1733333.3333333333,3.0,1.0
1715,0.0,1.0,1.0,3.0,1.0,35.0,3.0,3.0,2.0,3.0,3.0,3.0,362500.0,3.0,3.0
1717,3.5,3.0,1.0,1.0,3.0,40.0,1.0,3.0,2.0,3.0,3.0,6.0,325714.28571428574,3.0,3.0
1718,5.0,1.0,1.0,1.0,1.0,54.0,3.0,3.0,2.0,4.0,3.0,6.0,466666.6666666667,3.0,3.0
1719,5.0,3.0,1.0,1.0,1.0,36.0,3.0,3.0,2.0,3.0,3.0,3.0,573333.3333333334,3.0,3.0
1720,3.0,1.0,1.0,1.0,3.0,50.0,3.0,3.0,2.0,3.0,3.0,6.0,1440000.0,3.0,1.0
1721,0.0,1.0,1.0,1.0,1.0,72.0,1.0,3.0,1.0,5.0,3.0,3.0,2567500.0,3.0,3.0
1722,0.0,1.0,1.0,3.0,3.0,66.0,1.0,3.0,2.0,1.0,3.0,6.0,3600000.0,3.0,3.0
1723,0.0,1.0,1.0,1.0,1.0,136.0,3.0,3.0,1.0,8.0,3.0,3.0,826666.6666666666,3.0,3.0
1725,15.0,3.0,1.0,1.0,1.0,60.0,1.0,3.0,2.0,4.0,3.0,3.0,1956428.5714285714,1.0,3.0
1727,20.0,1.0,1.0,3.0,1.0,40.0,1.0,3.0,2.0,4.0,3.0,3.0,3206000.0,3.0,1.0
1728,0.0,1.0,1.0,1.0,1.0,30.0,3.0,3.0,2.0,3.0,3.0,3.0,0.0,3.0,3.0
1729,0.0,1.0,1.0,1.0,1.0,60.0,3.0,3.0,2.0,5.0,3.0,6.0,688750.0,3.0,3.0
1730,7.0,1.0,1.0,3.0,1.0,90.0,3.0,3.0,1.0,5.0,3.0,2.0,1000000.0,3.0,3.0
1731,0.0,3.0,1.0,3.0,1.0,24.0,1.0,3.0,2.0,3.0,3.0,6.0,860000.0,1.0,3.0
1732,38.0,1.0,1.0,1.0,1.0,72.0,1.0,3.0,1.0,6.0,3.0,3.0,5668750.0,3.0,3.0
1733,0.0,3.0,2.0,1.0,1.0,56.0,1.0,3.0,1.0,5.0,3.0,3.0,4666666.666666667,1.0,1.0
