,Model,Precision,Recall,F1 score,Support
0,AdaBoost,0.7517241379310344,0.9195327709279688,0.8272037361354349,1541
1,GradientBoosting,0.7526483050847458,0.9221284879948086,0.8288130650335375,1541
2,DecisionTree,0.744945567651633,0.9325113562621674,0.828242074927954,1541
3,RandomForest,0.7194312796208531,0.9850746268656716,0.8315529991783073,1541
4,XGBoost,0.7527792482795129,0.9227774172615185,0.8291545189504373,1541
5,SupportVector,0.7446700507614213,0.9519792342634653,0.835659356308744,1541
