,housetype,waste,trash,stagnantwater,nearstable,ventilation,cleanyard,mediumyard,kitchenoutside,sharebedkitch,numroom,floor,outerwall,roof,hhid07,housesqm,own_house,own_otherbuilding,own_land,own_livestock,own_poultry,own_tanamankeras,own_vehicles,own_hhappliance,own_fininstrument_7,own_receivables,own_jewelry,own_furniture,own_others,ricebought,ipercap,hhid14,own_fininstrument_14
1690,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,0401831,38.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,14.0,1800000.0,0401831,3.0
1691,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,3.0,1.0,3.0,0401900,84.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,5.0,1400000.0,0401900,3.0
1693,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,3.0,2.0,3.0,0401942,77.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,5.0,4000000.0,0401942,3.0
1694,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,0402000,28.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,431428.5714285714,0402000,1.0
1695,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,3.0,1.0,3.0,0402041,75.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,1.6,0.0,0402041,3.0
1697,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,12.0,1.0,1.0,3.0,0402300,120.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,10.0,2142857.1428571427,0402300,3.0
1699,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,5.0,3.0,1.0,3.0,0402342,48.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,14.0,12000000.0,0402342,1.0
1700,1.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,5.0,3.0,1.0,3.0,0402311,54.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,25.0,200000.0,0402311,3.0
1702,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,5.0,3.0,2.0,3.0,0402500,60.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,25.0,1028571.4285714285,0402500,3.0
1703,8.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,4.0,2.0,95.0,0402541,24.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,25.0,1440000.0,0402541,3.0
1704,1.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,9.0,3.0,1.0,3.0,0402600,175.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,0.0,9866666.666666666,0402600,3.0
1705,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,6.0,0402641,12.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,5.0,6000000.0,0402641,3.0
1706,1.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,5.0,3.0,2.0,3.0,0402611,54.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,30.0,4285714.285714285,0402611,3.0
1707,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,6.0,0402631,20.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,4000000.0,0402631,3.0
1708,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,12.0,1.0,1.0,3.0,0402700,182.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,0.0,11400000.0,0402700,1.0
1710,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,10.0,2.0,1.0,3.0,0402800,192.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,0.0,6000000.0,0402800,1.0
1711,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,2.0,3.0,0404100,42.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,0.0,2160000.0,0404100,3.0
1712,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,6.0,2.0,4.0,0410100,96.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,0.0,5200000.0,0410100,3.0
1713,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,3.0,1.0,4.0,0410141,35.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,0.0,1200000.0,0410141,3.0
1714,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,6.0,2.0,6.0,0410142,24.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,0.0,1733333.3333333333,0410142,1.0
1715,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0,0410131,35.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,0.0,362500.0,0410131,3.0
1717,1.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,6.0,2.0,4.0,0410300,40.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.5,325714.28571428574,0410300,3.0
1718,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,6.0,2.0,4.0,0410341,54.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,5.0,466666.6666666667,0410341,3.0
1719,1.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0,0410342,36.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,5.0,573333.3333333334,0410342,3.0
1720,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,6.0,2.0,4.0,0410400,50.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1440000.0,0410400,1.0
1721,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,3.0,1.0,4.0,0410600,72.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,0.0,2567500.0,0410600,3.0
1722,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,6.0,2.0,4.0,0410641,66.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,0.0,3600000.0,0410641,3.0
1723,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,8.0,3.0,1.0,4.0,0410642,136.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,826666.6666666666,0410642,3.0
1725,1.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,2.0,4.0,0410700,60.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,15.0,1956428.5714285714,0410700,3.0
1727,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,3.0,2.0,5.0,0410900,40.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,20.0,3206000.0,0410900,1.0
1728,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,5.0,0410941,30.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,0.0,0.0,0410941,3.0
1729,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,5.0,6.0,2.0,4.0,0411000,60.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,0.0,688750.0,0411000,3.0
1730,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,2.0,1.0,4.0,0411041,90.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,7.0,1000000.0,0411041,3.0
1731,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,6.0,2.0,4.0,0411011,24.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,860000.0,0411011,3.0
1732,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,3.0,1.0,4.0,0411100,72.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,38.0,5668750.0,0411100,3.0
1733,2.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,5.0,3.0,1.0,3.0,0411141,56.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,4666666.666666667,0411141,1.0
1734,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,4.0,0411200,121.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,0.0,11882857.142857144,0411200,1.0
1736,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,6.0,2.0,4.0,0411300,54.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,550000.0,0411300,3.0
1737,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,0411341,36.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,0.0,1900000.0,0411341,3.0
1738,1.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,4.0,6.0,2.0,4.0,0411321,108.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,5.0,1275000.0,0411321,3.0
1739,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,3.0,1.0,4.0,0411331,72.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,7.0,1270750.0,0411331,3.0
1741,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,2.0,1.0,4.0,0411400,66.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,3358000.0,0411400,3.0
1742,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,4.0,0411600,72.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,10.0,720000.0,0411600,3.0
1743,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,3.0,1.0,4.0,0411641,99.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,4700000.0,0411641,3.0
1744,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,13.0,3.0,1.0,3.0,0411700,150.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,0.0,21150000.0,0411700,3.0
1745,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,8.0,3.0,1.0,4.0,0411800,72.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3796666.6666666665,0411800,1.0
1746,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,4.0,0411841,45.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,0.0,2108333.3333333335,0411841,3.0
1747,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,6.0,6.0,1.0,4.0,0411900,72.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,8.0,6406750.0,0411900,3.0
1748,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,3.0,1.0,4.0,0412000,60.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,0.0,4342857.142857143,0412000,3.0
1749,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0,3.0,2.0,4.0,0412100,45.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,7.0,2158333.3333333335,0412100,3.0
1750,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,6.0,2.0,4.0,0412141,30.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,5.0,933333.3333333334,0412141,1.0
1751,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,4.0,0412142,28.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,10.0,12500000.0,0412142,3.0
1752,1.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,4.0,3.0,2.0,4.0,0412143,36.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,6000000.0,0412143,1.0
1753,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,4.0,0412200,50.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,8.0,6220000.0,0412200,3.0
1754,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,6.0,2.0,4.0,0412400,63.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,5.0,1243333.3333333333,0412400,3.0
1755,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,6.0,1.0,1.0,3.0,0412500,66.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,2355833.3333333335,0412500,3.0
1756,1.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,5.0,3.0,2.0,4.0,0412531,35.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,15.0,5170000.0,0412531,3.0
1757,2.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,4.0,6.0,2.0,4.0,0412532,24.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,3001437.5,0412532,1.0
1758,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,3.0,1.0,4.0,0412700,72.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,2418250.0,0412700,3.0
1759,1.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0,6.0,2.0,4.0,0413000,72.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,0.0,116666.66666666667,0413000,3.0
1760,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,6.0,2.0,4.0,0414100,72.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,5.0,614666.6666666666,0414100,3.0
1761,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,6.0,2.0,4.0,0414200,108.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,10.0,150000.0,0414200,3.0
1762,1.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,0414211,72.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,0.0,12000000.0,0414211,3.0
1763,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,4.0,0414212,99.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,0.0,1681000.0,0414212,3.0
1764,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,8.0,3.0,1.0,4.0,0414300,72.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,0.0,1970000.0,0414300,3.0
1765,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,5.0,2.0,1.0,4.0,0414400,72.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,2574615.3846153845,0414400,3.0
1766,1.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,7.0,3.0,1.0,4.0,0414411,105.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,6.0,2400000.0,0414411,3.0
1767,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,3.0,1.0,4.0,0414412,80.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,0.0,2480000.0,0414412,3.0
1769,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,6.0,3.0,1.0,4.0,0414431,120.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,2900000.0,0414431,3.0
1771,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,4.0,6.0,3.0,4.0,0420100,60.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,0.0,4640000.0,0420100,3.0
1772,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,8.0,6.0,1.0,4.0,0420200,144.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,20.0,625333.3333333334,0420200,3.0
1773,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0,0420241,54.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,20.0,800000.0,0420241,3.0
1774,1.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,0420242,63.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,5.0,2292000.0,0420242,3.0
1775,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,4.0,0420243,12.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,16.0,14400000.0,0420243,3.0
1776,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,3.0,1.0,4.0,0420231,81.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,1625000.0,0420231,3.0
1778,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,10.0,3.0,2.0,4.0,0420300,66.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,10.0,544333.3333333334,0420300,3.0
1781,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,6.0,1.0,4.0,0420332,144.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,4070000.0,0420332,1.0
1782,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,3.0,2.0,4.0,0420400,56.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,10.0,942222.2222222222,0420400,3.0
1783,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,5.0,6.0,2.0,4.0,0420431,72.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,0.0,4208333.333333333,0420431,3.0
1784,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,7.0,3.0,1.0,4.0,0420500,63.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,2030000.0,0420500,3.0
1786,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,6.0,2.0,4.0,0420531,42.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,212857.14285714287,0420531,3.0
1787,1.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,6.0,6.0,2.0,4.0,0420600,60.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,10.0,942857.1428571428,0420600,1.0
1788,5.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0,4.0,0420641,64.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,4.0,2400000.0,0420641,3.0
1790,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,6.0,2.0,4.0,0420631,28.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,0.0,2200000.0,0420631,3.0
1791,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,3.0,2.0,3.0,0420700,72.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,685714.2857142857,0420700,3.0
1792,5.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,4.0,2.0,4.0,0420741,10.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,4.0,12000000.0,0420741,1.0
1793,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,4.0,0420721,60.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,5360000.0,0420721,3.0
1794,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,3.0,1.0,4.0,0420800,75.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,0.0,11000000.0,0420800,3.0
1795,6.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,6.0,2.0,1.0,4.0,0420841,150.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,0420841,1.0
1796,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,6.0,2.0,4.0,0420900,12.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,0.0,600000.0,0420900,3.0
1798,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,6.0,2.0,4.0,0420911,72.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,5.0,840000.0,0420911,3.0
1799,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,3.0,1.0,4.0,0421000,84.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,0.0,1280000.0,0421000,3.0
1802,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,8.0,1.0,1.0,4.0,0421031,100.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,0.0,1257142.857142857,0421031,1.0
1804,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,6.0,2.0,4.0,0421200,40.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,0.0,350000.0,0421200,3.0
1805,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,6.0,2.0,4.0,0421241,32.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,10.0,925000.0,0421241,3.0
1806,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,6.0,3.0,4.0,0421242,64.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,4.0,4975000.0,0421242,3.0
1808,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,6.0,2.0,1.0,4.0,0421300,45.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,20.0,2612500.0,0421300,3.0
1809,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0,0421341,35.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5658333.333333333,0421341,3.0
1810,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,6.0,2.0,1.0,4.0,0421400,54.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,0.0,213000.0,0421400,3.0
1811,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,2.0,1.0,4.0,0421441,30.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,50.0,2400000.0,0421441,3.0
