,housetype,waste,trash,stagnantwater,nearstable,ventilation,cleanyard,mediumyard,kitchenoutside,sharebedkitch,numroom,floor,outerwall,roof,housesqm,own_house,own_otherbuilding,own_land,own_livestock,own_poultry,own_tanamankeras,own_vehicles,own_hhappliance,own_fininstrument_7,own_receivables,own_jewelry,own_others,ricebought,ipercap,own_fininstrument_14
2234,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,28.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,0.0,1371428.5714285714,1.0
2235,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,6.0,3.0,1.0,4.0,72.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,10.0,1846153.8461538462,3.0
2238,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,6.0,2.0,1.0,4.0,90.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,20.0,5250000.0,1.0
2239,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,4.0,24.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0
2240,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,9.0,3.0,1.0,4.0,128.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,10.0,9527272.727272727,1.0
2241,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0,1.0,3.0,48.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,20.0,771428.5714285715,3.0
2243,5.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,4.0,2.0,1.0,4.0,50.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,4.8,9440000.0,3.0
2244,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,7.0,1.0,1.0,4.0,96.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,0.0,2500000.0,3.0
2245,2.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,5.0,1.0,1.0,4.0,450.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,2000000.0,3.0
2246,1.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,7.0,1.0,1.0,3.0,104.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,5.0,4000000.0,3.0
2247,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,4.0,60.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,6.0,3150000.0,3.0
2253,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,7.0,1.0,1.0,3.0,60.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,1966666.6666666667,3.0
2254,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,4.0,500.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,20.0,10000000.0,1.0
2256,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,8.0,3.0,1.0,3.0,70.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,5020000.0,1.0
2257,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,6.0,1.0,1.0,3.0,108.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,10.0,1666666.6666666667,3.0
2258,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,8.0,1.0,1.0,100.0,120.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,5100000.0,3.0
2259,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,24.0,1.0,1.0,4.0,288.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,19000000.0,3.0
2260,2.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,15.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0
2262,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,2.0,1.0,4.0,112.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,20400000.0,3.0
2264,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,11.0,3.0,1.0,4.0,120.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,10.0,2326923.076923077,3.0
2265,1.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,5.0,4.0,2.0,3.0,30.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,5.0,1800000.0,3.0
2266,8.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,7.0,4.0,2.0,3.0,70.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,6.0,2405000.0,3.0
2267,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,48.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,5.0,3600000.0,3.0
2268,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,8.0,1.0,1.0,4.0,110.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,5.0,4500000.0,3.0
2269,5.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,48.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,5.0,6000000.0,1.0
2270,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,10.0,1.0,1.0,4.0,172.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,10727777.777777778,1.0
2271,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,3.0,1.0,4.0,80.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,8250000.0,3.0
2272,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,6.0,1.0,1.0,4.0,70.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,20.0,7745454.545454546,1.0
2273,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,7.0,4.0,2.0,3.0,84.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,5375000.0,3.0
2274,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,9.0,1.0,1.0,4.0,120.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,20.0,14125000.0,1.0
2276,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,8.0,1.0,1.0,4.0,165.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,20.0,138461.53846153847,3.0
2277,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,8.0,2.0,1.0,5.0,80.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,20.0,4800000.0,3.0
2278,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,8.0,1.0,1.0,4.0,150.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,9600000.0,1.0
2279,1.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,6.0,3.0,1.0,3.0,48.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,0.0,2400000.0,3.0
2280,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,7.0,1.0,1.0,4.0,120.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,3333333.3333333335,1.0
2281,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,10.0,2.0,1.0,4.0,90.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,10.0,2428571.4285714286,3.0
2282,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,6.0,1.0,1.0,4.0,20.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,7.0,24000000.0,1.0
2283,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,1.0,4.0,36.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,7500000.0,1.0
2284,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,2.0,1.0,4.0,54.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,5700000.0,1.0
2285,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,9.0,1.0,1.0,4.0,150.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,20.0,18161538.46153846,1.0
2287,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,1.0,4.0,60.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,3300000.0,1.0
2288,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,9.0,1.0,1.0,4.0,80.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,10.0,3166842.1052631577,3.0
2289,1.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,4.0,24.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2430000.0,3.0
2290,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,6.0,1.0,1.0,4.0,77.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,5600000.0,1.0
2291,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,6.0,1.0,1.0,4.0,54.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,12449230.76923077,1.0
2292,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,10.0,1.0,1.0,4.0,270.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3033333.3333333335,1.0
2293,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,7.0,1.0,1.0,100.0,70.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,9300000.0,1.0
2296,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,14.0,1.0,1.0,4.0,292.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,4950000.0,1.0
2298,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,6.0,2.0,1.0,4.0,56.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,9600000.0,1.0
2301,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,3.0,1.0,3.0,56.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,7.0,3900000.0,3.0
2303,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,10.0,2.0,1.0,3.0,120.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,10940000.0,3.0
2304,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,7.0,3.0,1.0,3.0,120.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,5.0,2666666.6666666665,3.0
2305,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,7.0,1.0,1.0,3.0,77.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,19200000.0,3.0
2306,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,7.0,3.0,2.0,3.0,120.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,10.0,4800000.0,1.0
2307,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,4.0,42.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,8000000.0,1.0
2310,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,9.0,1.0,1.0,4.0,120.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,8050000.0,1.0
2311,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,8.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,1.0
2313,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,2.0,6.0,45.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3000000.0,3.0
2314,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,7.0,3.0,2.0,3.0,63.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,6.0,1331111.111111111,3.0
2315,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,7.0,3.0,1.0,3.0,140.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,20.0,5900000.0,3.0
2316,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,2.0,3.0,54.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,10.0,5400000.0,3.0
2317,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,3.0,2.0,3.0,45.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,15.0,1124000.0,3.0
2318,1.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,7.0,1.0,1.0,3.0,94.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,11.0,12000000.0,3.0
2319,5.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,60.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,5000000.0,1.0
2320,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,42.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,5.0,4800000.0,1.0
2321,8.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,4.0,2.0,3.0,36.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,3770000.0,1.0
2322,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,4.0,72.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,0.0,18000000.0,1.0
2323,2.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,5.0,3.0,1.0,3.0,136.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1620000.0,3.0
2324,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,4.0,105.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,5.0,1636363.6363636365,3.0
2325,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0,4.0,90.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,7.0,0.0,3.0
2326,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,5.0,3.0,2.0,4.0,36.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1266666.6666666667,3.0
2328,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,36.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,7.0,3000000.0,3.0
2330,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0,4.0,42.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,10.0,500000.0,3.0
2331,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,15.0,1.0,1.0,100.0,119.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,20.0,10875000.0,3.0
2333,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,4.0,21.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,13625000.0,1.0
2334,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,14.0,4.0,2.0,4.0,240.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3180000.0,1.0
2335,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,4.0,72.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,20.0,12000000.0,3.0
2336,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,4.0,36.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4833333.333333333,3.0
2337,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,7.0,1.0,1.0,4.0,66.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,0.0,1166666.6666666667,3.0
2338,8.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,5.0,4.0,2.0,4.0,60.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,8.0,3325714.285714286,3.0
2340,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,7.0,1.0,1.0,4.0,70.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,4.5,1025000.0,3.0
2341,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,7.0,3.0,1.0,5.0,60.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,7.0,6160000.0,3.0
2342,8.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,6.0,4.0,2.0,3.0,60.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,20.0,1942857.142857143,3.0
2343,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,2.0,1.0,4.0,96.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,30.0,5900000.0,3.0
2344,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,2.0,1.0,4.0,120.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,10.0,5400000.0,3.0
2346,2.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,6.0,1.0,1.0,4.0,80.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,5.0,2945454.5454545454,3.0
2347,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,4.0,80.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,9425000.0,1.0
2350,8.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,48.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,7.0,1975000.0,3.0
2351,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,6.0,3.0,1.0,4.0,68.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,2400000.0,3.0
2353,8.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,9.0,4.0,2.0,4.0,300.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,14.0,1745454.5454545454,3.0
2355,2.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,5.0,4.0,2.0,4.0,54.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,7.0,1250000.0,1.0
2356,5.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,4.0,30.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,0.0,4320000.0,3.0
2357,5.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,4.0,30.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,0.0,7188333.333333333,1.0
2358,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,3.0,3.0,4.0,60.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,7.0,125000.0,3.0
2359,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0,4.0,60.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,5400000.0,3.0
2360,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,2.0,18.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,5.0,875000.0,3.0
2363,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,4.0,100.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,10500000.0,1.0
2364,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,2.0,1.0,4.0,54.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,20.0,8400000.0,1.0
2365,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,8.0,3.0,1.0,4.0,112.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,9600000.0,1.0
2366,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,5.0,1.0,1.0,4.0,42.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,8.0,428571.4285714286,3.0
2369,6.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,0.0,18000000.0,1.0
2371,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0,4.0,77.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0,5200000.0,1.0
2372,6.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,15.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0
2373,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,1.0,3.0,42.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,0.0,8725000.0,3.0
2374,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,1.0,5.0,54.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,8366666.666666667,3.0
2375,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,3.0,2.0,3.0,66.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6442000.0,1.0
2376,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,7.0,3.0,2.0,3.0,70.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,10.0,6755833.333333333,3.0
2377,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,6.0,1.0,1.0,3.0,105.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,9200000.0,1.0
2378,1.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,5.0,3.0,2.0,5.0,42.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,0.0,3160000.0,3.0
2379,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,1.0,1.0,5.0,42.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,7.0,2274285.714285714,3.0
